,Title,Directed by,Produced by,Screenplay by,Based on,Starring,Music by,Cinematography,Edited by,Production companies,Distributed by,Release date,Running time,Country,Language,Budget,Box office,Running Time,Budget,Box Office,Release date,imdb,metascore,rotten_tomatoes,Written by,Production company,Story by,Narrated by,French,Spanish,Italian,Portuguese,Animation by,Hangul,Revised Romanization,Japanese,Literally,Turkish,Indonesian,German,Norwegian,Polish,Music,Lyrics,Book,Basis,Productions
294,Over the Moon,Glen Keane,Gennie Rim Peilin Chou,"['Alice Wu', 'Audrey Wells', 'Jennifer Yee McDevitt']",,Cathy Ang Phillipa Soo Ken Jeong John Cho Ruthie Ann Miles Margaret Cho Sandra Oh,Steven Price Christopher Curtis Marjorie Duffield Helen Park,,Edie Ichioka,,Netflix,"October 17, 2020 ( MFF ) October 23, 2020 (United States)",100 minutes,United States China,English,,,100,,,17-10-20,,,,Audrey Wells,Netflix Animation Pearl Studio Sony Pictures Imageworks Glen Keane Productions,,,,,,,,,,,,,,,,,,,,,
295,Holidate,John Whitesell,McG Mary Viola,,,Emma Roberts Luke Bracey,Dan the Automator,Shane Hurlbut,Emma E. Hickox,,Netflix,28-Oct-20,103 minutes,United States,English,,,103,,,28-10-20,,,,Tiffany Paulsen,Wonderland Sound and Vision,,,,,,,,,,,,,,,,,,,,,
296,Nobody Sleeps in the Woods Tonight,Bartosz M. Kowalski,,,,Julia Wieniawa-Narkiewicz Michał Lupa Wiktoria Gasiewska,,,,Akson Studio Plan Zet Polski Instytut Sztuki Filmowej,Netflix,28-Oct-20,102 minutes,Poland,Polish,,,102,,,28-10-20,,,,Bartosz M. Kowalski Jan Kwiecinski Mirella Zaradkiewicz,,,,,,,,,,,,,,,,,W lesie dzis nie zasnie nikt,,,,,
297,His House,Remi Weekes,Aidan Elliott Martin Gentles Arnon Milchan Ed King Roy Lee,Remi Weekes,,Wunmi Mosaku Sope Dirisu Matt Smith,,Jo Willems,Julia Bloch,Regency Enterprises BBC Films Vertigo Entertainment Starchild Pictures,Netflix,"January 27, 2020 ( Sundance ) October 30, 2020 (United States)",93 minutes,United States United Kingdom,English Dinka,,,93,,,27-01-20,,,,,,Felicity Evans Toby Venables,,,,,,,,,,,,,,,,,,,,
298,Kaali Khuhi,Terrie Samundra,"['Ramon Chibb', 'Anku Pandey']",,,Shabana Azmi Sanjeeda Sheikh Riva Arora Satyadeep Mishra Leela Samson,Daniel B.George,Sejal Shah,Sanyukta Kaza,,Netflix,30-Oct-20,,India,Hindi,,,,,,30-10-20,,,,"['Terrie Samundra', 'David Walter Lech', 'Rupinder Inderjit']",Manomay Motion Picture,,,,,,,,,,,,,,,,,,,,,
299,Rogue City,Olivier Marchal,,,,Lannick Gautry Stanislas Merhar Kaaris,,,,Gaumont Umedia uFund,Netflix,30-Oct-20,116 minutes,France,French,,,116,,,30-10-20,,,,Olivier Marchal,,,,Bronx,,,,,,,,,,,,,,,,,,
300,The Day of the Lord,Santiago Alvarado Ilarri,,,,Dolores Heredia Ximena Romo Juli Fàbregas,,,,Invico Capital Magno Entertainment Minds Eye Entertainment,Netflix,30-Oct-20,93 minutes,Mexico Spain,Spanish,,,93,,,30-10-20,,,,Santiago Alvarado Ilarri Ramón Salas,,,,,Menendez Parte 1: El día del Señor,,,,,,,,,,,,,,,,,
301,Ludo,Anurag Basu,"['Bhushan Kumar', 'Divya Khosla Kumar', 'Krishan Kumar', 'Anurag Basu', 'Tani Basu']",Himanshu Jaykar,,"['Abhishek Bachchan', 'Aditya Roy Kapur', 'Rajkummar Rao', 'Pankaj Tripathi', 'Rohit Suresh Saraf', 'Fatima Sana Shaikh', 'Sanya Malhotra', 'Pearle Maaney', 'Inayat Verma']",Pritam,,Ajay Sharma,,Netflix,12-Nov-20,,India,Hindi,,,,,,12-11-20,,,,Anurag Basu,"['T-Series', 'Anurag Basu Productions']",,,,,,,,,,,,,,,,,,,,,
302,Jingle Jangle: A Christmas Journey,David E. Talbert,John Legend Mike Jackson David E. Talbert Lyn Sisson-Talbert Kristin Burr,,,Forest Whitaker Keegan-Michael Key Hugh Bonneville Anika Noni Rose Madalen Mills Phylicia Rashad Ricky Martin,John Debney,Remi Adefarasin,,Brillstein Entertainment Partners Get Lifted Film Company 260 Degrees Entertainment,Netflix,13-Nov-20,,United States,English,,,,,,13-11-20,,,,David E. Talbert,,,,,,,,,,,,,,,,,,,,,,
303,The Life Ahead,Edoardo Ponti,Carlo Degli Esposti Nicola Serra Regina K. Scully Jamie Wolf,Edoardo Ponti Ugo Chiti,"['The Life Before Us', 'by', 'Romain Gary']",Sophia Loren Ibrahima Gueye,Gabriel Yared,Angus Hudson,Jacopo Quadri,Palomar Impact Partners Artemis Rising Another Chance Productions Foothills Productions,Netflix,"November 6, 2020 (United States) November 13, 2020 (Italy)",94 minutes,United States Italy,Italian,,,94,,,06-11-20,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Dolly Parton's Christmas on the Square,Debbie Allen,Debbie Allen,Maria S. Schlatter,,Dolly Parton Christine Baranski Treat Williams Jenifer Lewis Josh Segarra Jeanine Mason,Dolly Parton,Oliver Bokelberg,Casey O. Rohrs,,Netflix,22-Nov-20,98 minutes,United States,English,,,98,,,22-11-20,,,,,Magnolia Hill Productions,,,,,,,,,,,,,,,,,,,,,
305,Hillbilly Elegy,Ron Howard,Brian Grazer Ron Howard Karen Lunder,Vanessa Taylor,"['Hillbilly Elegy', 'by', 'J.D. Vance']",Glenn Close Amy Adams Gabriel Basso Haley Bennett Freida Pinto Bo Hopkins Owen Asztalos,Hans Zimmer David Fleming,Maryse Alberti,James D. Wilcox,,Netflix,"November 24, 2020 (United States)",115 minutes,United States,English,,,115,,,24-11-20,,,,,Imagine Entertainment,,,,,,,,,,,,,,,,,,,,,
306,The Christmas Chronicles,Clay Kaytis,Chris Columbus Michael Barnathan Mark Radcliffe,Matt Lieberman,,Kurt Russell Judah Lewis Darby Camp Lamorne Morris Kimberly Williams-Paisley Oliver Hudson Goldie Hawn Martin Roach Vella Lovell,Christophe Beck,Don Burgess,Dan Zimmerman,1492 Pictures Cinesite Animation,Netflix,,104 minutes,United States,English,,,104,,,,,,,,,Matt Lieberman David Guggenheim,,,,,,,,,,,,,,,,,,,,
307,The Call,Lee Chung-hyun,Jeong Hui-sun,,,"['Park Shin-hye', 'Jeon Jong-seo']",Dalpalan,Jo Young-jik,Yang Jin-mo,,"['Next Entertainment World', 'Netflix']",27-Nov-20,112 minutes,South Korea,Korean,,,112,,,27-11-20,,,,Lee Chung-hyun,Yong Film,,,,,,,,,Kol,,,,,,,,,,,,
308,Mank,David Fincher,Ceán Chaffin Eric Roth Douglas Urbanski,,,Gary Oldman Amanda Seyfried Lily Collins Arliss Howard Tom Pelphrey Sam Troughton Ferdinand Kingsley Tuppence Middleton Tom Burke Joseph Cross Jamie McShane Toby Leonard Moore Monika Grossman Charles Dance,Trent Reznor Atticus Ross,Erik Messerschmidt,Kirk Baxter,,Netflix,"November 13, 2020 (United States)",131 minutes,United States,English,,,131,,,13-11-20,,,,Jack Fincher,Netflix,,,,,,,,,,,,,,,,,,,,,
309,The Prom,Ryan Murphy,Adam Anders Dori Berinstein Chad Beguelin Bill Damaschke Bob Martin Ryan Murphy Scott Robertson Matthew Sklar Alexis Martin Woodall,Chad Beguelin Bob Martin,"['The Prom', 'by', 'Chad Beguelin', 'Bob Martin', 'Matthew Sklar']",Meryl Streep James Corden Nicole Kidman Keegan-Michael Key Andrew Rannells Ariana DeBose Kerry Washington Jo Ellen Pellman,Matthew Sklar,Matthew Libatique,Peggy Tachdjian Danielle Wang,,Netflix,11-Dec-20,,United States,English,,,,,,11-12-20,,,,,Ryan Murphy Productions,,,,,,,,,,,,,,,,,,,,,
310,Ma Rainey's Black Bottom,George C. Wolfe,Denzel Washington Todd Black Dany Wolf,Ruben Santiago-Hudson,"[""Ma Rainey's Black Bottom"", 'by', 'August Wilson']",Viola Davis Chadwick Boseman Glynn Turman Colman Domingo Michael Potts,Branford Marsalis,Tobias A. Schliessler,Andrew Mondshein,,Netflix,18-Dec-20,94 minutes,United States,English,,,94,,,18-12-20,,,,,Mundy Lane Entertainment Escape Artists,,,,,,,,,,,,,,,,,,,,,
311,The Midnight Sky,George Clooney,Grant Heslov George Clooney Keith Redmon Bard Dorros Cliff Roberts,Mark L. Smith,"['Good Morning, Midnight', 'by Lily Brooks-Dalton']",George Clooney Felicity Jones David Oyelowo Tiffany Boone Demián Bichir Kyle Chandler Caoilinn Springall,Alexandre Desplat,Martin Ruhe,Stephen Mirrione,Smokehouse Pictures Anonymous Content,Netflix,"December 23, 2020 (United States)",,United States,English,,,,,,23-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,
312,The White Tiger,Ramin Bahrani,"['Mukul Deora', 'Ramin Bahrani']",Ramin Bahrani,"['The White Tiger', 'by', 'Arvind Adiga']","['Priyanka Chopra', 'Rajkummar Rao', 'Adarsh Gourav']","['Danny Bensi', 'Saunder Jurriaans']",Paolo Carnera,Tim Streeto,,,Dec-20,131 minutes,,English,,,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,The Dig,Simon Stone,Gabrielle Tana Carolyn Marks Blackwood Murray Ferguson Ellie Wood,Moira Buffini,"['The Dig', 'by', 'John Preston']",Ralph Fiennes Carey Mulligan Lily James,,Mike Eley,Jon Harris,,Netflix,,,"['United Kingdom', 'United States']",English,,,,,,,,,,,Magnolia Mae Films Clerkenwell Films,,,,,,,,,,,,,,,,,,,,,
314,Fear Street,Leigh Janiak,Peter Chernin David Ready Jenno Topping,,"['Fear Street', 'by', 'R. L. Stine']",Kiana Madeira Olivia Welch Gillian Jacobs Benjamin Flores Jr.,Marco Beltrami,Caleb Heymann,Rachel Katz,,Netflix,2021,,United States,English,,,,,,,,,,Kyle Killen Leigh Janiak Phil Graziadei,20th Century Studios Chernin Entertainment,,,,,,,,,,,,,,,,,,,,,
315,Army of the Dead,Zack Snyder,Deborah Snyder Zack Snyder Wesley Coller,Zack Snyder Shay Hatten,,Dave Bautista Ella Purnell Ana de la Reguera Theo Rossi Tig Notaro Huma Qureshi Garret Dillahunt Raúl Castillo Omari Hardwick Hiroyuki Sanada Matthias Schweighöfer,Tom Holkenborg,Zack Snyder,Dody Dorn,,Netflix,2021,,United States,English,$70–90 million,,,70000000,,,,,,,The Stone Quarry,Zack Snyder Joby Harold,,,,,,,,,,,,,,,,,,,,
316,Blonde,Andrew Dominik,Dede Gardner Jeremy Kleiner Tracey Landon Brad Pitt Scott Robertson,Andrew Dominik,"['Blonde', 'by', 'Joyce Carol Oates']",Ana de Armas Adrien Brody Bobby Cannavale Julianne Nicholson,,Chayse Irvin,Adam Robinson,,Netflix,,,United States,English,,,,,,,,,,,Plan B Entertainment,,,,,,,,,,,,,,,,,,,,,
317,Born to Be Murdered,Ferdinando Cito Filomarino,"['Luca Guadagnino', 'Marco Morabito']",Kevin A. Rice,,John David Washington Alicia Vikander Boyd Holbrook Vicky Krieps,Ryuichi Sakamoto,Sayombhu Mukdeeprom,Walter Fasano,,Netflix,2021,,,,,,,,,,,,,,Frenesy Film MeMo RT Features Endeavor Content,Ferdinando Cito Filomarino,,,,,,,,,,,,,,,,,,,,
318,Bruised,Halle Berry,Basil Iwanyk Brad Feinstein Guymon Casady Linda Gottlieb Erica Lee,Michelle Rosenfarb,,Halle Berry Shamier Anderson Adan Canto Sheila Atim,Terence Blanchard,Frank G. DeMarco,Jacob Craycroft,,Netflix,"September 12, 2020 ( TIFF )",129 minutes,United States United Kingdom,English,,,129,,,12-09-20,,,,,Entertainment 360 Thunder Road Pictures Romulus Entertainment,,,,,,,,,,,,,,,,,,,,,
319,Concrete Cowboy,Ricky Staub,Idris Elba Tucker Tooley Lee Daniels Jeff Waxman Dan Walser,"['Ricky Staub', 'Dan Walser']","['Ghetto Cowboy', 'by', 'Greg Neri']",Idris Elba Caleb McLaughlin Jharrel Jerome Lorraine Toussaint Byron Bowers Method Man,,Minka Farthing-Kohl,Luke Ciarrocchi,,Netflix,"September 13, 2020 ( TIFF )",111 minutes,United States,English,,,111,,,13-09-20,,,,,Tucker Tooley Entertainment Green Door Pictures Lee Daniels Entertainment Neighborhood Film Co.,,,,,,,,,,,,,,,,,,,,,
320,Desert Dolphin,Manjari Makijany,Manjari Makijany Vinati Makijany Emmanuel Pappas,Manjari Makijany Vinati Makijany,,,Salim–Sulaiman,,,,Netflix,2021,,India United States,Hindi English,,,,,,,,,,,Skatepark Films Mac Productions,,,,,,,,,,,,,,,,,,,,,
321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,David Bryan,David Bryan and Joe DiPietro,Joe DiPietro,"Diana, Princess Of Wales",2019 La Jolla Playhouse
322,Malcolm & Marie,Sam Levinson,Sam Levinson Ashley Levinson Kevin Turen,,,John David Washington Zendaya,,Marcell Rév,Julio C. Perez IV,,Netflix,,,United States,English,,,,,,,,,,Sam Levinson,Little Lamb,,,,,,,,,,,,,,,,,,,,,
323,Moxie,Amy Poehler,Amy Poehler Morgan Sackett Kim Lessing,,"['Moxie', 'by Jennifer Mathieu']",Hadley Robinson Lauren Tsai Josephine Langford Patrick Schwarzenegger,,Tom Magill,Julie Monroe,,Netflix,,,United States,English,,,,,,,,,,Tamara Chestna,Paper Kite Productions,,,,,,,,,,,,,,,,,,,,,
324,My Father's Dragon,Nora Twomey,Tomm Moore Meg LeFauve John Morgan Bonnie Curtis Paul Young Julie Lynn Alan Moloney Ruth Coady Gerry Shirren,Meg LeFauve,"[""My Father's Dragon"", 'by', 'Ruth Stiles Gannett']",,,,,,Netflix,2021,,"['United States', 'Ireland']",English,,,,,,,,,,,Netflix Animation Cartoon Saloon Mockingbird Pictures Parallel Films,Meg LeFauve John Morgan,,,,,,,,,,,,,,,,,,,,
325,O2,Alexandre Aja,Alexandre Aja Grégory Levasseur Vincent Maraval Brahim Chioua Noëmie Devide,,,Mélanie Laurent Mathieu Amalric Malik Zidi,,,Hervé Schneid,Gateway Films Wild Bunch Echo Lake Entertainment,Netflix,,,United States France,French,,,,,,,,,,Christie LeBlanc,,,,,,,,,,,,,,,,,,,,,,
326,Pinocchio,Guillermo del Toro Mark Gustafson,Guillermo del Toro Lisa Henson Alexander Bulkley Corey Campodonico Gary Ungar,Guillermo del Toro Patrick McHale Gris Grimly Matthew Robbins,"['The Adventures of Pinocchio', 'by', 'Carlo Collodi']",Gregory Mann Ewan McGregor David Bradley Ron Perlman Tilda Swinton Christoph Waltz Tim Blake Nelson Finn Wolfhard Burn Gorman John Turturro Cate Blanchett,Alexandre Desplat,Frank Passingham,Ken Schretzmann,,Netflix,2021,,United States,English,$35 million,,,35000000,,,,,,,Netflix Animation The Jim Henson Company ShadowMachine Double Dare You Productions Necropia Entertainment,Guillermo del Toro Matthew Robbins,,,,,,,,,,,,,,,,,,,,
327,The Kissing Booth 3,Vince Marcello,Vince Marcello Michele Weisler Ed Glauser Andrew Cole-Bulgin,,"['The Kissing Booth', 'by Beth Reekles']",Joey King Joel Courtney Jacob Elordi Maisie Richardson-Sellers Taylor Zakhar Perez Molly Ringwald,,,,Picture Loom Productions Clearblack Films Komixx Entertainment,Netflix,2021,,United States,English,,,,,,,,,,Vince Marcello Jay Arnold,,,,,,,,,,,,,,,,,,,,,,
328,There's Someone Inside Your House,Patrick Brice,Shawn Levy James Wan Dan Cohen Michael Clear,Henry Gayden,"[""There's Someone Inside Your House"", 'by', 'Stephanie Perkins']",Sydney Park Theodore Pellerin Asjha Cooper Dale Whibley Jesse LaTourette Burkely Duffield Diego Josef Markian Tarasiuk Sarah Dugdale,Zachary Dawes,Jeff Cutter,Michel Aller,,Netflix,2021,,United States,English,,,,,,,,,,,21 Laps Entertainment Atomic Monster Productions,,,,,,,,,,,,,,,,,,,,,
329,The Princess Switch,Mike Rohl,Amy Krell Brad Krevoy Linda L. Miller,,,Vanessa Hudgens Sam Palladio Nick Sagar,Terry Frewer,Viorel Sergovici Lulu de Hillerin,Charles Norris,,Netflix,16-Nov-18,102 minutes,United States,English,,,102,,,16-11-18,,,,Robin Bernheim Megan Metzger,,,,,,,,,,,,,,,,,,,,,,
330,The Power of the Dog,Jane Campion,Jane Campion Iain Canning Roger Frappier Tanya Seghatchian Emile Sherman,,"['The Power of the Dog', 'by', 'Thomas Savage']",Benedict Cumberbatch Kirsten Dunst Jesse Plemons Thomasin McKenzie Kodi Smit-McPhee,,Ari Wegner,,,Netflix,,,"['United Kingdom', 'Australia', 'United States', 'Canada']",English,,,,,,,,,,Jane Campion,"['BBC Films', 'Brightstar', 'See-Saw Films', 'Big Shell Films', 'Max Films']",,,,,,,,,,,,,,,,,,,,,
331,Wendell and Wild,Henry Selick,Jordan Peele Henry Selick Ellen Goldsmith-Vein Sarah Serata Win Rosenfeld Peter Principato Joel Zadak Lindsay Williams Eddie Gamarra,Jordan Peele Keegan-Michael Key Henry Selick Clay McLeod Chapman,,Jordan Peele Keegan-Michael Key,Bruno Coulais,Peter Sorg,,Netflix Animation Monkeypaw Productions Gotham Group Principato-Young Entertainment,Netflix,2021,,United States,English,,,,,,,,,,,,Henry Selick,,,,,,,,,,,,,,,,,,,,
332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jason Robert Brown,Jason Robert Brown,"['Dan Elish', 'Robert Horn']",,"['2007', 'Los Angeles', '2008', 'Goodspeed Musicals', '2008', 'Broadway', '2012', 'London', '2019', 'Mexico']"
333,Apollo 10½,Richard Linklater,Richard Linklater Tommy Pallotta Mike Blizzard Femke Wolting Bruno Felix,,,Glen Powell Jack Black Zachary Levi Josh Wiggins,,Shane F. Kelly,Sandra Adair,Detour Filmproduction Submarine,Netflix,,,United States,English,,,,,,,,,,Richard Linklater,,,,,,,,,,,,,,,,,,,,,,
334,Awake,Mark Raso,Mark Gordon Matt Jackson Gregory Poirier Josh Clay Phillips Paul Schiff,Mark Raso Joseph Raso Gregory Poirier,,Gina Rodriguez Jennifer Jason Leigh Barry Pepper Finn Jones,,Alan Poon,Michele Conroy,Entertainment One Paul Schiff Productions,Netflix,,,United States,English,,,,,,,,,,,,Gregory Poirier,,,,,,,,,,,,,,,,,,,,
335,Bad Trip,Kitao Sakurai,Jeff Tremaine Eric André David Bernad Ruben Fleischer,Dan Curry Eric André Kitao Sakurai,,Eric André Lil Rel Howery Tiffany Haddish,Joseph Shirley Ludwig Göransson,Andrew Laboy,Matthew Kosinski Sascha Stanton-Craven,Orion Pictures Bron Creative Gorilla Flicks The District Helo,Netflix,"April 17, 2020 ( Amazon Prime Video )",84 minutes,United States,English,,,84,,,17-04-20,,,,,,Eric André Kitao Sakurai Andrew Barchilon,,,,,,,,,,,,,,,,,,,,
336,Bird Box,Susanne Bier,Dylan Clark Chris Morgan Clayton Townsend,Eric Heisserer,"['Bird Box', 'by', 'Josh Malerman']",Sandra Bullock Trevante Rhodes John Malkovich Danielle Macdonald Sarah Paulson,Trent Reznor Atticus Ross,Salvatore Totino,Ben Lester,,Netflix,"November 12, 2018 ( AFI Fest ) December 14, 2018 (United States)",124 minutes,,English,$19.8 million,,124,19800000,,12-11-18,,,,,Bluegrass Films Chris Morgan Productions,,,,,,,,,,,,,,,,,,,,,
337,Bombay Rose,Gitanjali Rao,"['Anand Mahindra', 'Rohit Khattar']",,,"['Cyli Khare', 'Amit Deondi', 'Anurag Kashyap', 'Makrand Deshpande', 'Geetanjali Kulkarni', 'Shishir Sharma', 'Virendra Saxena', 'Amardeep Jha']","['Cyli Khare', 'Yoav Rosenthal']",,Gitanjali Rao,,,28 August 2019 ( Venice ),93 minutes,India,Hindi,,,93,,,28-08-19,,,,Gitanjali Rao,Cinestaan Film Company,,,,,,,,,,,,,,,,,,,,,
338,Chicken Run,Peter Lord Nick Park,Peter Lord Nick Park David Sproxton,Karey Kirkpatrick,,Phil Daniels Lynn Ferguson Mel Gibson Tony Haygarth Jane Horrocks Miranda Richardson Julia Sawalha Timothy Spall Imelda Staunton Benjamin Whitrow,John Powell Harry Gregson-Williams,Dave Alex Riddett Tristan Oliver Frank Passingham,Mark Solomon,Aardman Animations DreamWorks Animation,Pathé Distribution (Europe) DreamWorks Pictures (International),23 June 2000 (United States) 30 June 2000 (United Kingdom),84 minutes,United Kingdom United States,English,$45 million,$224.8 million,84,45000000,224800000,23-06-00,,,,,,Peter Lord Nick Park,,,,,,,,,,,,,,,,,,,,
339,Harvey,Henry Koster,John Beck,,,"['James Stewart', 'Josephine Hull', 'Peggy Dow', 'Charles Drake']",Frank Skinner,William H. Daniels,Ralph Dawson,,Universal Pictures,"['December 4, 1950', '(Brazil)', 'December 21, 1950', '(USA)']",104 minutes,United States,English,,$2.6 million (US rentals),104,,2600000,04-12-50,,,,"['Mary Chase', 'Oscar Brodney', 'Myles Connolly', '(Uncredited)']",Universal Pictures,,,,,,,,,,,,,,,,,,,,,
340,Hustle,Jeremiah Zagar,LeBron James Adam Sandler,,,Adam Sandler Queen Latifah Robert Duvall Ben Foster,,Zak Mulligan,,,Netflix,,,United States,English,,,,,,,,,,Taylor Materne Will Fetters,Happy Madison Productions SpringHill Entertainment Roth/Kirschenbaum Films,,,,,,,,,,,,,,,,,,,,,
341,Kate,Cedric Nicolas-Troyan,David Leitch Kelly McCormick Bryan Unkeless Scott Morgan,,,Mary Elizabeth Winstead Woody Harrelson Michiel Huisman Tadanobu Asano,,Lyle Vincent,,,Netflix,,,United States,English,,,,,,,,,,Umair Aleem,Screen Arcade,,,,,,,,,,,,,,,,,,,,,
342,Night Teeth,Adam Randall,Vincent Gatewood Charles Morrison Ben Pugh,,,Jorge Lendeborg Jr. Debby Ryan Lucy Fry Alfie Allen Raúl Castillo,,Ebon Bolter,,Unique Features 42,Netflix,,,United States,English,,,,,,,,,,Brent Dillon,,,,,,,,,,,,,,,,,,,,,,
343,Pieces of a Woman,Kornél Mundruczó,Kevin Turen Ashley Levinson Aaron Ryder,,,Vanessa Kirby Shia LaBeouf Molly Parker Sarah Snook Iliza Shlesinger Benny Safdie Jimmie Fails Ellen Burstyn,Howard Shore,Benjamin Loeb,Dávid Jancsó,Bron Studios Little Lamb Creative Wealth Media,Netflix,"September 4, 2020 ( Venice )",128 minutes,United States Canada,English,,,128,,,04-09-20,,,,Kata Wéber,,,,,,,,,,,,,,,,,,,,,,
344,Red Notice,Rawson Marshall Thurber,Beau Flynn Dwayne Johnson Dany Garcia Rawson Marshall Thurber Hiram Garcia,,,Dwayne Johnson Gal Gadot Ryan Reynolds,Steve Jablonsky,Markus Förderer,Michael L. Sale,,Netflix,,,United States,English,$125–150 million,,,125000000,,,,,,Rawson Marshall Thurber,"Flynn Picture Company Seven Bucks Productions Bad Version, Inc.",,,,,,,,,,,,,,,,,,,,,
345,Sweet Girl,Brian Andrew Mendoza,Brian Andrew Mendoza Jason Momoa Brad Peyton,,,Jason Momoa Isabela Merced Manuel Garcia-Rulfo Raza Jaffrey Adria Arjona Justin Bartha Lex Scott Davis Michael Raymond-James Dominic Fumusa Brian Howe Nelson Franklin Reggie Lee Marisa Tomei,,Barry Ackroyd,Matt Chessé,ASAP Entertainment Pride of Gypsies,Netflix,,,United States,English,,,,,,,,,,Philip Eisner Gregg Hurwitz Will Staples,,,,,,,,,,,,,,,,,,,,,,
346,The Hand of God,Paolo Sorrentino,Paolo Sorrentino Lorenzo Mieli,,,Toni Servillo,Lele Marchitelli,Daria D'Antonio,Cristiano Travaglioli,The Apartment,Netflix,,,Italy,Italian,,,,,,,,,,Paolo Sorrentino,,,,,,È stata la mano di Dio,,,,,,,,,,,,,,,,
347,The Harder They Fall,Jeymes Samuel,Lawrence Bender Jay-Z James Lassiter Jeymes Samuel,,,Jonathan Majors Idris Elba Zazie Beetz Lakeith Stanfield Delroy Lindo Regina King,,Sean Bobbitt Mihai Mălaimare Jr.,,,Netflix,,,United States,English,,,,,,,,,,Jeymes Samuel Boaz Yakin,Overbrook Entertainment,,,,,,,,,,,,,,,,,,,,,
348,The Starling,Theodore Melfi,Theodore Melfi Kimberly Quinn Dylan Sellers,,,Melissa McCarthy Chris O'Dowd Kevin Kline Timothy Olyphant Daveed Diggs Skyler Gisondo Loretta Devine Laura Harrier Rosalind Chao Kimberly Quinn,Benjamin Wallfisch,Lawrence Sher,"['Matt Friedman', 'Peter Teschner']",Limelight Entertainment One Boies/Schiller Film Group,Netflix,,,United States,English,,,,,,,,,,Matt Harris,,,,,,,,,,,,,,,,,,,,,,
349,Things Heard and Seen,"['Shari Springer Berman', 'Robert Pulcini']",Stefanie Azpiazu Anthony Bregman Julie Cohen Peter Cron,,"['All Things Cease to Appear', 'by Elizabeth Brundage']",Amanda Seyfried James Norton Natalia Dyer Rhea Seehorn Alex Neustaedter F. Murray Abraham,,Larry Smith,Louise Ford,,Netflix,,,United States,English,,,,,,,,,,Shari Springer Berman Robert Pulcini,Likely Story,,,,,,,,,,,,,,,,,,,,,
350,Thunder Force,Ben Falcone,Ben Falcone Melissa McCarthy Marc Platt,,,Melissa McCarthy Octavia Spencer Pom Klementieff Melissa Leo,,Barry Peterson,Tia Nolan,,Netflix,,,United States,English,,,,,,,,,,Ben Falcone,On the Day Productions Marc Platt Productions,,,,,,,,,,,,,,,,,,,,,
351,"Tick, Tick... Boom!",Lin-Manuel Miranda,Brian Grazer Ron Howard Lin-Manuel Miranda Julie Oh,Steven Levenson,"['Tick, Tick... Boom!', 'by', 'Jonathan Larson']",Andrew Garfield Alexandra Shipp Vanessa Hudgens Robin de Jesús Joshua Henry Judith Light Bradley Whitford,Jonathan Larson,Alice Brooks,,,Netflix,,,United States,English,,,,,,,,,,,"['Imagine Entertainment', '5000 Broadway Productions']",,,,,,,,,,,,,,,,,,,,,
